"name","firstReleaseDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl","earlyAccessExitDate"
"Operation: Tango","1622520000000","false","528683","19.99","6270763","5.311856529900107","88","Indie","Clever Plays","Clever Plays","1335790","https://store.steampowered.com/app/1335790",""
"60 Seconds! Reatomized","1564027200000","false","1055971","9.99","6245360","11.28670071707288","94","Indie","Robot Gentleman","Robot Gentleman","1012880","https://store.steampowered.com/app/1012880",""
"Tetris® Effect: Connected","1629172800000","false","259085","39.99","6234173","16.679106001364133","95","Indie","Enhance","Monstars Inc.,Resonair,Stage Games","1003590","https://store.steampowered.com/app/1003590",""
"Tricky Towers","1470110400000","false","1119096","14.99","6170416","6.966965234982705","90","Indie","WeirdBeard","WeirdBeard","437920","https://store.steampowered.com/app/437920",""
"Aeons Echo","1724284800000","false","229077","0","6108137","51.08436192655609","76","Indie","Nutaku Publishing","Aeons Studio","2832330","https://store.steampowered.com/app/2832330",""
"Crab Champions","1680321600000","true","681007","9.99","6044806","23.019713046953928","98","Indie","Noisestorm","Noisestorm","774801","https://store.steampowered.com/app/774801",""
"Parkitect","1462060800000","false","286863","29.99","6039754","61.6629603619016","94","Indie","Texel Raptor","Texel Raptor","453090","https://store.steampowered.com/app/453090","1543467600000"
"RISK: Global Domination","1582088400000","false","5911346","0","6007467.096877143","68.94434568930063","80","Indie","SMG Studio","SMG Studio","1128810","https://store.steampowered.com/app/1128810",""
"Bread & Fred","1684814400000","false","509551","14.99","6005010","3.272783626380963","83","Indie","Infogrames","SandCastles Studio","1607680","https://store.steampowered.com/app/1607680",""
"Stick Fight: The Game","1506571200000","false","6178226","4.99","17844610","7.1744349457924494","94","AA","Landfall","Landfall West","674940","https://store.steampowered.com/app/674940",""
"PlateUp!","1659585600000","false","1522635","19.99","17645286","37.05052883246624","95","Indie","Yogscast Games,Gamersky Games","It's happening","1599600","https://store.steampowered.com/app/1599600",""
"Digimon Masters Online","1478145600000","false","827874","0","17195839.046675462","145.35647254757842","67","Indie","MOVE ON USA CO.","Move Games Co., Ltd.","537180","https://store.steampowered.com/app/537180",""
"Construction Simulator","1663646400000","false","646982","34.99","17133452","30.9821607248455","82","AA","astragon Entertainment","weltenbauer. Software Entwicklung GmbH","1273400","https://store.steampowered.com/app/1273400",""
"My Time at Portia","1514764800000","false","1417241","29.99","17087815","0","92","AA","Focus Entertainment","Pathea Games","666140","https://store.steampowered.com/app/666140","1547528400000"
"Sun Haven","1624593600000","false","980574","24.99","16976493","33.06863206863584","84","Indie","Pixel Sprout Studios","Pixel Sprout Studios","1432860","https://store.steampowered.com/app/1432860","1678424400000"
"Stumble Guys","1633579200000","false","17651433","0","16610450.207075067","11.775723043162916","85","Indie","Scopely","Scopely","1677740","https://store.steampowered.com/app/1677740",""
"Firestone: Online Idle RPG","1569470400000","false","352254","0","16215758.245960677","554.394707097263","78","Indie","Holyday Studios","Holyday Studios","1013320","https://store.steampowered.com/app/1013320","1711944000000"
"House Flipper 2","1702530000000","false","469631","39.99","15556600","39.98787116265484","85","AA","Frozen District","Frozen District","1190970","https://store.steampowered.com/app/1190970",""
"Coral Island","1665460800000","false","626149","29.99","14802405","81.86222088229682","88","AA","Humble Games","Stairway Games","1158160","https://store.steampowered.com/app/1158160","1699938000000"
"Elsword","1372636800000","false","1008366","0","14239164.790625669","186.1700316988257","74","Indie","KOG Games","KOG","237310","https://store.steampowered.com/app/237310","1404273600000"
"Broforce","1396310400000","false","2667231","14.99","14140225","14.195595099387821","97","AA","Devolver Digital","Free Lives","274190","https://store.steampowered.com/app/274190","1444881600000"
"Brotato","1664251200000","false","4341121","4.99","14071360","40.62017301126781","97","Indie","Blobfish","Blobfish","1942280","https://store.steampowered.com/app/1942280","1687492800000"
"Aimlabs","1517979600000","false","21148800","0","13964494.53250011","30.26778951123322","93","Indie","State Space Labs, Inc.","State Space Labs, Inc.","714010","https://store.steampowered.com/app/714010","1686888000000"
"People Playground","1563854400000","false","4068245","9.99","13720390","94.45335528337624","99","Indie","Studio Minus","mestiez","1118200","https://store.steampowered.com/app/1118200",""
"The Jackbox Party Pack 7","1602648000000","false","555751","29.99","13650441","8.113327085548933","97","AA","Jackbox Games, Inc.","Jackbox Games, Inc.","1211630","https://store.steampowered.com/app/1211630",""
"Gems of War - Puzzle RPG","1416459600000","false","551332","0","13523958.202881105","280.454455073097","79","AA","505 Games","Infinity Plus 2","329110","https://store.steampowered.com/app/329110",""
"Wobbly Life","1594180800000","true","1062041","17.99","13504336","19.63475464772162","97","Indie","RubberBandGames","RubberBandGames","1211020","https://store.steampowered.com/app/1211020",""
"The Long Drive","1569384000000","true","1301329","15.99","13299914","13.331557911122925","91","Indie","Genesz","Genesz","1017180","https://store.steampowered.com/app/1017180",""
"Goat Simulator","1396324800000","false","3319045","9.99","13160261","9.58681904868146","91","AA","Coffee Stain Publishing","Coffee Stain Studios","265930","https://store.steampowered.com/app/265930",""
"BattleBlock Theater®","1396310400000","false","4294713","14.99","13150060","11.350496417560782","97","Indie","The Behemoth","The Behemoth","238460","https://store.steampowered.com/app/238460","1400126400000"
"The Stanley Parable: Ultra Deluxe","1651032000000","false","838060","24.99","13148392","6.105443149240118","94","Indie","Crows Crows Crows","Crows Crows Crows","1703340","https://store.steampowered.com/app/1703340",""
"Game Dev Tycoon","1377748800000","false","2180988","9.99","13100346","18.58688013680544","95","Indie","Greenheart Games 💚","Greenheart Games 💚","239820","https://store.steampowered.com/app/239820",""
"A Little to the Left","1667883600000","false","1132416","14.99","12746557","11.415440996753937","92","Indie","Secret Mode","Max Inferno","1629520","https://store.steampowered.com/app/1629520",""
"Governor of Poker 3","1455858000000","false","3676323","0","12646954.345834123","65.71091853162797","69","Indie","Playtika Ltd.","Playtika Ltd.","436150","https://store.steampowered.com/app/436150",""
"Golf It!","1487307600000","false","2510450","8.99","12630069","22.22374876637577","91","Indie","Perfuse Entertainment","Perfuse Entertainment","571740","https://store.steampowered.com/app/571740","1692331200000"
"MARVEL Puzzle Quest","1386219600000","false","252783","0","12528834.627648499","333.6506243853543","70","Indie","505 Go Inc","Broken Circle Studios","234330","https://store.steampowered.com/app/234330",""
"UNO","1483419600000","false","3098771","9.99","12323659","7.195808648767381","72","Indie","Ubisoft Entertainment","Ubisoft Entertainment","470220","https://store.steampowered.com/app/470220",""
"We Were Here Forever","1652155200000","false","1037571","17.99","11799738","9.481653956053227","92","Indie","Total Mayhem Games","Total Mayhem Games","1341290","https://store.steampowered.com/app/1341290",""
"The Jackbox Party Pack 3","1476676800000","false","714451","24.99","11678701","10.19247385177464","97","AA","Jackbox Games, Inc.","Jackbox Games, Inc.","434170","https://store.steampowered.com/app/434170",""
"Mabinogi","1354770000000","false","345842","0","11388065.724499715","439.43226058683655","75","AA","Nexon America Inc.","NEXON Korea Corporation","212200","https://store.steampowered.com/app/212200",""
"Peglin","1650859200000","false","749830","19.99","11143664","37.451983985413754","84","Indie","Red Nexus Games Inc.,IndieArk","Red Nexus Games Inc.","1296610","https://store.steampowered.com/app/1296610","1724716800000"
"Rocksmith® 2014 Edition REMASTERED LEARN & PLAY","1380585600000","false","546833","9.99","11059405","128.86944984455525","89","AAA","Ubisoft","Ubisoft - San Francisco,Ubisoft - Osaka","221680","https://store.steampowered.com/app/221680","1475553600000"
"Richman10","1571889600000","false","1185482","13.99","10992589","16.786932905973114","52","Indie","SOFTSTAR ENTERTAINMENT","Softstar Technology (Beijing) Co.,Ltd","1162520","https://store.steampowered.com/app/1162520",""
"Overcooked! All You Can Eat","1616472000000","false","571487","39.99","10901879","15.51103166095397","72","Indie","Team17 Digital","Team17 Digital,Ghost Town Games","1243830","https://store.steampowered.com/app/1243830",""
"Goose Goose Duck","1619668800000","false","17265852","0","10849394.585069038","47.389917356222725","87","Indie","Gaggle Studios, Inc.","Gaggle Studios, Inc.","1568590","https://store.steampowered.com/app/1568590","1633233600000"
"The Wolf Among Us","1381464000000","false","1110484","14.99","10707410","9.84181408136344","98","Indie","Telltale","Telltale","250320","https://store.steampowered.com/app/250320",""
"Dorfromantik","1616644800000","false","1128020","13.99","10692066","18.700467085989562","97","Indie","Toukana Interactive","Toukana Interactive","1455840","https://store.steampowered.com/app/1455840","1651118400000"
"ShellShock Live","1425168000000","false","2184137","9.99","10673457","66.22742594653423","93","Indie","kChamp Games","kChamp Games","326460","https://store.steampowered.com/app/326460","1590120000000"
"Chinese Parents","1538107200000","false","1962471","9.99","10640621","18.794733743357007","92","Indie","墨鱼玩游戏","墨鱼玩游戏","736190","https://store.steampowered.com/app/736190",""
"PICO PARK","1620360000000","false","3067006","4.99","10466758","3.6970479874976676","91","Indie","TECOPARK","TECOPARK","1509960","https://store.steampowered.com/app/1509960",""
"DJMAX RESPECT V","1576645200000","false","647863","49.99","10450191","61.463843834171655","89","AA","NEOWIZ","NEOWIZ","960170","https://store.steampowered.com/app/960170","1583899200000"
"Witch It","1496203200000","false","1596967","19.99","10275238","6.124797392399574","89","Indie","Barrel Roll Games","Barrel Roll Games","559650","https://store.steampowered.com/app/559650","1603339200000"
"Unrailed!","1568001600000","false","1304472","19.99","10273964","8.468703785508264","93","AA","Daedalic Entertainment","Indoor Astronaut","1016920","https://store.steampowered.com/app/1016920","1600833600000"
"SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated","1592884800000","false","588622","29.99","10237139","8.545695265450236","94","AA","THQ Nordic","Purple Lamp","969990","https://store.steampowered.com/app/969990",""
"Rec Room","1467086400000","false","4016699","0","10194491.508818317","46.227670843285715","90","Indie","Rec Room","Rec Room","471710","https://store.steampowered.com/app/471710","1630555200000"
"Senren＊Banka","1581656400000","false","571656","34.99","10149597","28.05831372355854","99","Indie","HIKARI FIELD,NekoNyan Ltd.","YUZUSOFT","1144400","https://store.steampowered.com/app/1144400",""
"Job Simulator","1459828800000","false","571289","19.99","9892048","22.654392619222037","91","Indie","Owlchemy Labs","Owlchemy Labs","448280","https://store.steampowered.com/app/448280",""
"Subverse","1616731200000","false","450849","39.99","9681155","8.418546600428595","71","Indie","Streembit Ltd","Studio FOW Interactive","1034140","https://store.steampowered.com/app/1034140","1731628800000"
"Gorilla Tag","1613106000000","false","517096","19.99","9599304","43.941275625665114","91","Indie","Another Axiom Inc.","Another Axiom Inc.","1533390","https://store.steampowered.com/app/1533390","1672549200000"
"ABZU","1470110400000","false","731991","19.99","5982227","3.5474219807076564","93","AA","505 Games","Giant Squid","384190","https://store.steampowered.com/app/384190",""
"Tiny Glade","1727049600000","false","474583","14.99","5861491","8.658880320807002","98","Indie","Pounce Light","Pounce Light","2198150","https://store.steampowered.com/app/2198150",""
"Muse Dash","1560916800000","false","5775435","2.99","5831656","21.158914575939175","91","Indie","hasuhasu","peropero","774171","https://store.steampowered.com/app/774171",""
"LOCKDOWN Protocol","1721606400000","true","711582","9.99","5828324","22.4732271894207","89","Indie","Mirage Creative Lab","Mirage Creative Lab","2780980","https://store.steampowered.com/app/2780980",""
"Clicker Heroes","1431489600000","false","5180483","0","5803003.753422933","0","90","Indie","Playsaurus","Playsaurus","363970","https://store.steampowered.com/app/363970",""
"MY HERO ULTRA RUMBLE","1695873600000","false","1016731","0","5739578","71.54090313363444","66","AAA","Bandai Namco Entertainment","Byking Inc.","1607250","https://store.steampowered.com/app/1607250",""
"The Jackbox Party Pack 4","1508299200000","false","348601","24.99","5559574","6.674411073102559","95","AA","Jackbox Games, Inc.","Jackbox Games, Inc.","610180","https://store.steampowered.com/app/610180",""
"Death Must Die","1699938000000","true","919339","6.99","5555549","24.636983904984717","92","Indie","Realm Archive","Realm Archive","2334730","https://store.steampowered.com/app/2334730",""
"3on3 FreeStyle: Rebound","1594699200000","false","595649","0","5544703.320894259","61.88352359240823","63","Indie","Joycity","Joycity","1292630","https://store.steampowered.com/app/1292630",""
"Biped","1585195200000","false","812274","14.99","5540061","12.165149976528271","86","Indie","NEXT Studios,META Publishing","NEXT Studios","1071870","https://store.steampowered.com/app/1071870",""
"Star Trek™: Bridge Crew","1496116800000","false","212955","24.99","5415555","4.568242160993352","76","AAA","Ubisoft","Ubisoft","527100","https://store.steampowered.com/app/527100",""
"Cloud Meadow","1583211600000","true","325641","19.99","5380154","16.10642002224558","87","Indie","TinyHat Studios","Team Nimbus","1223750","https://store.steampowered.com/app/1223750",""
"Creativerse","1406851200000","false","324497","24.99","5373378","91.197150362418","78","Indie","Playful Corp.","Playful Corp.","280790","https://store.steampowered.com/app/280790","1494216000000"
"Sky: Children of the Light","1712721600000","true","686783","0","5349441","69.07321077991236","88","Indie","thatgamecompany","thatgamecompany","2325290","https://store.steampowered.com/app/2325290",""
"The Survivalists","1602216000000","false","878019","24.99","5349220","9.261934213180464","77","AA","Team17","Team17","897450","https://store.steampowered.com/app/897450",""
"911 Operator","1487912400000","false","988431","14.99","5265328","10.182102462993683","89","Indie","Games Operators","Jutsu Games","503560","https://store.steampowered.com/app/503560",""
"Cookie Clicker","1630468800000","false","1583293","4.99","5263456","267.35568215437695","97","Indie","Playsaurus","Orteil,DashNet","1454400","https://store.steampowered.com/app/1454400",""
"Backpack Hero","1660536000000","false","380855","19.99","5248244","42.739618814886796","88","Indie","Pretty Soon,IndieArk","Jaspel","1970580","https://store.steampowered.com/app/1970580","1699938000000"
"Super Animal Royale","1544590800000","false","3147320","0","5196143.18692133","10.656766032959908","94","Indie","Pixile","Pixile","843380","https://store.steampowered.com/app/843380","1629950400000"
"Fernbus Simulator","1472097600000","false","225382","29.99","5137003","0","74","Indie","Aerosoft GmbH","TML-Studios","427100","https://store.steampowered.com/app/427100",""
"Vegas Infinite by PokerStars","1541653200000","false","366439","0","4995054.289988717","18.172886868943795","81","Indie","The Stars Group Inc.","Lucky VR Inc.","886250","https://store.steampowered.com/app/886250","1699592400000"
"WEBFISHING","1728604800000","false","1022132","4.99","4849063","12.481261256021341","98","Indie","lamedeveloper","lamedeveloper","3146520","https://store.steampowered.com/app/3146520",""
"Backrooms: Escape Together","1666065600000","true","817489","7.99","4823102","7.702707373055305","87","Indie","Triiodide Studios","Triiodide Studios","2141730","https://store.steampowered.com/app/2141730",""
"DRAGON BALL: THE BREAKERS","1665633600000","false","334909","19.99","4817387","94.56607281898842","50","AAA","Bandai Namco Entertainment","Dimps Corporation","1276760","https://store.steampowered.com/app/1276760",""
"Luma Island","1732060800000","false","355963","19.99","4810870","34.98513587525422","84","Indie","Feel Free Games","Feel Free Games","2408820","https://store.steampowered.com/app/2408820",""
"Terra Nil","1679976000000","false","256310","24.99","4805727","12.146998991650635","87","AA","Devolver Digital","Free Lives,Clockwork Acorn","1593030","https://store.steampowered.com/app/1593030",""
"shapez 2","1723680000000","true","259893","24.99","4764994","63.825284702638584","98","Indie","tobspr Games,Gamera Games","tobspr Games","2162800","https://store.steampowered.com/app/2162800",""
"Doki Doki Literature Club Plus!","1625025600000","false","481164","14.99","4752221","17.90219127623849","97","Indie","Serenity Forge","Team Salvato","1388880","https://store.steampowered.com/app/1388880",""
"Little Kitty, Big City","1715227200000","false","236815","24.99","4742675","7.043522217400173","96","Indie","Double Dagger Studio","Double Dagger Studio","1177980","https://store.steampowered.com/app/1177980",""
"20 Minutes Till Dawn","1654574400000","false","1339377","4.99","4700916","18.90058342655224","92","Indie","Erabit,flanne","flanne","1966900","https://store.steampowered.com/app/1966900","1686196800000"
"Tank Force: Online Shooter Game","1504224000000","false","196369","0","4680694.217358982","35.405639923916965","67","Indie","XDEVS LTD","XDEVS LTD","604500","https://store.steampowered.com/app/604500","1508731200000"
"NEKOPARA Vol. 1","1419829200000","false","1067346","9.99","4658333","61.137990985989","95","Indie","Sekai Project","NEKO WORKs","333600","https://store.steampowered.com/app/333600",""
"The Tenants","1616644800000","false","359397","19.99","4647272","11.204823811296766","81","AA","Frozen District","Ancient Forge","1009560","https://store.steampowered.com/app/1009560","1666238400000"
"Internet Cafe Simulator 2","1641531600000","false","461730","19.99","4540036","11.774012551259295","73","Indie","Cheesecake Dev","Cheesecake Dev","1563180","https://store.steampowered.com/app/1563180",""
"Melvor Idle","1605762000000","false","684281","9.99","4506583","326.27218044233115","91","AA","Jagex Ltd","Games by Malcs","1267910","https://store.steampowered.com/app/1267910","1637211600000"
"Trombone Champ","1663214400000","false","461911","14.99","4483886","3.2998038308991173","98","Indie","Holy Wow Studios LLC","Holy Wow Studios LLC","1059990","https://store.steampowered.com/app/1059990",""
"Summer Clover","1719374400000","false","318941","17.99","4446704","8.202745724324078","98","Indie","Mango Party,Mango Party News","Connection","2458860","https://store.steampowered.com/app/2458860",""
"Atelier Ryza 3: Alchemist of the End & the Secret Key","1679544000000","false","110868","59.99","4388503","47.360227899784576","91","AA","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","1999770","https://store.steampowered.com/app/1999770",""
"OneShot","1480568400000","false","766691","9.99","4371599","6.922863236505915","98","Indie","KOMODO","Future Cat LLC","420530","https://store.steampowered.com/app/420530",""
"HD Poker: Texas Hold'em","1536897600000","false","439187","0","4344610.802229056","87.81345063690983","80","Indie","Z4","Z4","797430","https://store.steampowered.com/app/797430",""
"Wobbledogs","1611810000000","false","323931","19.99","4312333","9.346771758033244","98","Indie","Secret Mode","Animal Uprising","1424330","https://store.steampowered.com/app/1424330","1647316800000"
"Puyo Puyo™ Tetris® 2","1616472000000","false","287401","29.99","4309371","28.18029121713844","81","AAA","SEGA","SEGA","1259790","https://store.steampowered.com/app/1259790",""
"Mad Games Tycoon 2","1611205200000","false","235338","24.99","4302600","50.55691558975855","94","Indie","Eggcode","Eggcode","1342330","https://store.steampowered.com/app/1342330","1685505600000"
"OMSI 2: Steam Edition","1383264000000","false","181270","29.99","4283915","0","85","Indie","Aerosoft GmbH","MR-Software GbR","252530","https://store.steampowered.com/app/252530","1386738000000"
"Creeper World 4","1606971600000","false","232021","24.99","4264144","33.14510805417929","95","Indie","Knuckle Cracker","Knuckle Cracker","848480","https://store.steampowered.com/app/848480",""
"There Is No Game: Wrong Dimension","1596686400000","false","460442","12.99","4245588","5.77097570841884","98","Indie","Draw Me A Pixel","Draw Me A Pixel","1240210","https://store.steampowered.com/app/1240210",""
"STORY OF SEASONS: Friends of Mineral Town","1594699200000","false","144745","39.99","4228721","23.686614526991626","94","AA","XSEED Games,Marvelous USA, Inc.,Marvelous","Marvelous Inc.","978780","https://store.steampowered.com/app/978780",""
"Rogue Tower","1643346000000","false","363922","14.99","4222454","44.934588488469714","83","Indie","Die of Death Games","Die of Death Games","1843760","https://store.steampowered.com/app/1843760",""
"Riichi City","1662609600000","false","211930","0","4148226.481502276","33.09924127056104","52","Indie","Formirai Co., Ltd.","Formirai Co., Ltd.","1954420","https://store.steampowered.com/app/1954420",""
"Notes of Soul","1547701200000","true","288182","29.99","4145366","54.8777367539861","73","Indie","（Hong Kong）GKD Game Studio","（Hong Kong）GKD Game Studio","991780","https://store.steampowered.com/app/991780",""
"Townscaper","1593489600000","1629950400000","false","1014758","5.99","4143254","3.007954888394136","96","AA","Raw Fury","Oskar Stålberg","1291340","https://store.steampowered.com/app/1291340"
"Town of Salem","1418619600000","","false","1350517","4.99","4083467","34.273135432438806","88","Indie","Digital Bandidos","BlankMediaGames","334230","https://store.steampowered.com/app/334230"
"Return to Monkey Island","1663560000000","","false","234802","24.99","4073090","12.289412379922764","92","AA","Devolver Digital","Terrible Toybox","2060130","https://store.steampowered.com/app/2060130"
"CLANNAD","1448254800000","","false","236968","44.99","4066167","40.63004162928388","99","Indie","Sekai Project","VisualArts/Key","324160","https://store.steampowered.com/app/324160"
"Contractors","1544763600000","","false","268145","19.99","4062645","28.12488075460129","84","Indie","Caveman Studio","Caveman Studio","963930","https://store.steampowered.com/app/963930"
"Construction Simulator 2015","1416286800000","","false","393532","14.99","4037306","33.9359715320197","82","AA","astragon Entertainment","weltenbauer. Software Entwicklung GmbH","289950","https://store.steampowered.com/app/289950"
"Katamari Damacy REROLL","1544072400000","","false","278604","29.99","4024234","9.903212426855847","93","AA","BANDAI NAMCO Entertainment","MONKEYCRAFT Co. Ltd.","848350","https://store.steampowered.com/app/848350"
"Catan Universe","1493092800000","","false","1489292","0","3989791.861362549","0","49","Indie","USM","Client/Frontend: Endava  / Backend: SuperNimbus","544730","https://store.steampowered.com/app/544730"
"Mon Bazou","1639630800000","","true","319969","15.99","3940805","46.25786729148005","97","Indie","Santa Goat","Santa Goat","1520370","https://store.steampowered.com/app/1520370"
