steam_id,STAT_ACTION_APPLY_MEDS_ON_SURVIVOR,STAT_ACTION_COOK_STEAK,STAT_ACTION_DRINK,STAT_ACTION_EAT,STAT_ACTION_EQUIP_GEAR,STAT_ACTION_GUT_DEER,STAT_ACTION_HANDCUFF_SURVIVOR,STAT_ACTION_IGNITE_FIRE_HAND_DRILL,STAT_ACTION_IGNITE_FIRE_MATCHBOX,STAT_ACTION_IGNITE_FIRE_ROAD_FLARE,STAT_ACTION_SHAVE,STAT_HEADSHOT_COUNT,STAT_INFECTED_HEADSHOT_COUNT,STAT_INFECTED_KILL_COUNT,STAT_INFECTED_SOLDIER_KILL_COUNT,STAT_SURVIVOR_HEADSHOT_COUNT,STAT_SURVIVOR_KILL_MAX_DIST,STAT_SURVIVOR_MELEE_KILL_COUNT
76561197961748565,,,,1.0,,,,,,,,,,6.0,,,,
76561197963157956,,7.0,23.0,68.0,646.0,,,,2.0,,,39.0,38.0,195.0,24.0,1.0,6.051647663116455,2.0
76561197967653453,5.0,3.0,205.0,382.0,11083.0,1.0,,,,,1.0,99.0,92.0,1040.0,171.0,7.0,123.38395690917969,4.0
76561197983430639,,4.0,9.0,31.0,286.0,,,1.0,,,,3.0,3.0,56.0,1.0,,3.7141900062561035,
76561197994632672,,,1.0,4.0,,,,,,,,,,14.0,,,,
76561198001180742,3.0,3.0,56.0,101.0,579.0,,,,,,,12.0,11.0,200.0,85.0,1.0,10.67342472076416,2.0
76561198009279284,,,,8.0,66.0,,,,,,,,,15.0,,,,
76561198015211720,,,,3.0,39.0,,,,,,,,,18.0,,,,
76561198019450670,,,3.0,23.0,147.0,,,,,,,2.0,2.0,13.0,,,,
76561198021030896,,,14.0,71.0,166.0,,,2.0,,,,1.0,1.0,176.0,16.0,,,1.0
76561198024003410,,,31.0,42.0,631.0,,,,,,,81.0,81.0,154.0,25.0,,15.426814079284668,
76561198027729292,,8.0,27.0,61.0,1159.0,,,,,,,32.0,32.0,152.0,48.0,,,
76561198027836137,3.0,,45.0,184.0,1722.0,,1.0,,,,,194.0,194.0,639.0,200.0,,132.55426025390625,1.0
76561198029015422,,,,,,,,,,,,,,2.0,,,,
76561198040157499,1.0,1.0,22.0,41.0,247.0,,,1.0,,,,3.0,3.0,131.0,37.0,,12.973488807678223,
76561198040436563,,,,,,,,,,,,,,2.0,,,,
76561198041560069,,,3.0,4.0,52.0,,,,,,,,,14.0,,,,
76561198042684190,1.0,36.0,317.0,702.0,3397.0,2.0,,2.0,2.0,,1.0,209.0,205.0,1941.0,456.0,4.0,194.0234832763672,9.0
76561198045128913,2.0,,21.0,52.0,1360.0,1.0,,,,,,25.0,24.0,121.0,27.0,1.0,6.6335978507995605,1.0
76561198047117118,1.0,,33.0,74.0,507.0,,,,,,,1.0,1.0,155.0,5.0,,,2.0
76561198047354000,,,,6.0,1.0,,,,,,,,,5.0,,,,
76561198048087899,,,2.0,8.0,207.0,,,1.0,,,,4.0,4.0,28.0,,,,
76561198053309995,,1.0,18.0,39.0,413.0,,,,,,,3.0,3.0,64.0,,,,2.0
76561198054780300,2.0,17.0,48.0,177.0,2590.0,,,2.0,2.0,,,23.0,22.0,174.0,87.0,1.0,3.973224401473999,
76561198058472665,,,,1.0,,,,,,,,,,4.0,,,,
76561198058840971,,,4.0,9.0,18.0,,,,,,,10.0,10.0,38.0,,,1.4927843809127808,
76561198059423547,,,,2.0,,,,,,,,,,,,,,
76561198059596814,,,,1.0,,,,,,,,,,1.0,,,,
76561198060186484,30.0,,,,,,10.0,,,,,20.0,,1.0,1.0,,300.0,15.0
76561198060842438,30.0,,,,,,10.0,,,,,20.0,,1.0,1.0,,300.0,15.0
76561198061414183,,,4.0,17.0,67.0,,,,,,,2.0,2.0,60.0,2.0,,,
76561198063652400,,11.0,24.0,91.0,753.0,,,1.0,1.0,,,10.0,10.0,135.0,,,,2.0
76561198064575738,,,,1.0,,,,,,,,,,,,,,
76561198064946551,,,,3.0,,,,,,,,,,8.0,,,,
76561198065186919,,,,2.0,,,,,,,,,,,,,,
76561198065975829,,,2.0,27.0,200.0,,,,,,,2.0,2.0,57.0,,,,
76561198066270016,,,10.0,23.0,23.0,,,,,,,1.0,1.0,54.0,,,15.153388977050781,
76561198066985251,,,12.0,31.0,303.0,,,,,,,5.0,5.0,53.0,,,9.129443168640137,
76561198067884624,,,,2.0,,,,,,,,,,4.0,,,,
76561198068487100,,,2.0,6.0,97.0,,,,,,,,,14.0,,,,
76561198068790576,,3.0,13.0,42.0,425.0,,,1.0,,,,67.0,66.0,101.0,41.0,1.0,2.8532321453094482,
76561198070354664,,,5.0,16.0,130.0,,,,,,,,,33.0,,,,
76561198070939576,,,3.0,3.0,,,,,,,,,,9.0,,,,
76561198072311224,,10.0,53.0,87.0,2535.0,,,2.0,,,1.0,27.0,27.0,186.0,37.0,,,
76561198073725308,,,24.0,64.0,1159.0,,,,,,,31.0,30.0,181.0,21.0,1.0,1.6155943870544434,
76561198074013834,,,,,,,,,,,,,,2.0,,,,
76561198074136045,30.0,,4.0,33.0,3.0,,10.0,,,,,26.0,6.0,51.0,3.0,,300.0,15.0
76561198074686925,,,3.0,1.0,,,,,,,,,,10.0,8.0,,,
76561198074757486,,1.0,7.0,22.0,954.0,1.0,,,,,1.0,21.0,20.0,73.0,12.0,1.0,1.5390793085098267,
76561198074865533,3.0,5.0,22.0,63.0,1589.0,,,,2.0,,,4.0,4.0,83.0,8.0,,51.829322814941406,2.0
76561198074961564,,,22.0,48.0,33.0,,,,,,,4.0,4.0,48.0,,,,
76561198075709928,,20.0,156.0,290.0,3153.0,4.0,,3.0,,,,109.0,108.0,502.0,116.0,1.0,42.63209915161133,2.0
76561198077013342,,,,,40.0,,,,,,,,,,,,,
76561198079084621,,,3.0,10.0,58.0,,,,,,,3.0,3.0,42.0,,,,
76561198080198319,,,17.0,34.0,315.0,,,,,,,7.0,6.0,102.0,7.0,1.0,18.447858810424805,
76561198080377010,,,1.0,5.0,,,,,,,,2.0,2.0,4.0,,,,
76561198080946676,,11.0,14.0,26.0,375.0,,,2.0,,,1.0,17.0,17.0,68.0,1.0,,,2.0
76561198081806891,,,,1.0,,,,,,,,,,3.0,,,,
76561198082372757,3.0,,41.0,88.0,2005.0,,,,,,,47.0,47.0,282.0,58.0,,4.467063903808594,1.0
76561198082973886,,,10.0,20.0,305.0,,,,,,,,,50.0,10.0,,,
76561198083245519,,,,1.0,,,,,,,,,,5.0,,,,
76561198085994848,,,4.0,8.0,2.0,,,,,,,4.0,4.0,30.0,,,,
76561198086189152,,,,4.0,,,,,,,,,,2.0,,,3.2362124919891357,
76561198089623821,,,4.0,24.0,405.0,,,,,,,,,62.0,,,8.194254875183105,1.0
76561198091074198,,,4.0,17.0,11.0,,,,,,,2.0,2.0,24.0,3.0,,,
76561198093631988,,,,1.0,,,,,,,,,,2.0,,,,
76561198093660584,,,1.0,2.0,39.0,,,,,,,1.0,1.0,2.0,,,,
76561198093856862,,,22.0,92.0,1045.0,,,,,,,10.0,10.0,181.0,26.0,,1.5780339241027832,
76561198094873421,,,4.0,5.0,,,,,,,,,,26.0,,,,
76561198098123877,,,2.0,5.0,,,,,,,,1.0,1.0,2.0,1.0,,,
76561198101929592,,,,1.0,,,,,,,,,,1.0,,,,
76561198102689809,1.0,110.0,1376.0,1729.0,7891.0,4.0,,,17.0,8.0,1.0,699.0,698.0,1403.0,277.0,1.0,5.314131259918213,
76561198104099240,,17.0,73.0,201.0,2502.0,,,2.0,1.0,,,139.0,139.0,499.0,99.0,,17.8956356048584,
76561198104404348,,,8.0,24.0,144.0,,,,,,,4.0,4.0,42.0,2.0,,,2.0
76561198104555812,,,4.0,6.0,57.0,,,,,,,8.0,8.0,20.0,5.0,,,
76561198104816536,,,3.0,7.0,,,,,,,,,,33.0,8.0,,,
76561198105917195,,,4.0,11.0,15.0,,,,,,,1.0,1.0,53.0,,,,
76561198107321556,,,33.0,51.0,355.0,,,,,,,30.0,30.0,106.0,14.0,,,1.0
76561198107886000,,19.0,39.0,138.0,594.0,1.0,,,,,1.0,27.0,27.0,212.0,42.0,,,
76561198108948929,,6.0,38.0,89.0,714.0,,,1.0,2.0,,,20.0,20.0,264.0,5.0,,,3.0
76561198111112330,,,5.0,20.0,189.0,,,,,,,,,22.0,,,,
76561198112656598,,,1.0,4.0,,,,,,,,1.0,1.0,10.0,,,,
76561198113141110,,,,1.0,4.0,,,,,,,,,2.0,,,,
76561198113820868,,,22.0,48.0,183.0,,,,,,,,,105.0,2.0,,13.680368423461914,
76561198116013480,,,,,,,,,,,,,,2.0,,,,
76561198116235215,,,,1.0,,,,,,,,,,,,,,
